airtable_id,org_short_name,org_full_name,crafd_connection,org_type,relational_project,logo_slug,org_url,total_grant_size
recoEozGFP6Ycs4yg,AFJC,Association des Femmes Juristes de Centrafrique,['Implementing partner'],Non-Governmental Organization,['recN7H5G0nlU4k3TS'],afjc,https://www.peaceinsight.org/fr/organisations/afjc,
rec6LmfpV1yxpXe7E,AFPA,L'Alliance des femmes en Haiti,['Implementing partner'],Non-Governmental Organization,['recN7H5G0nlU4k3TS'],,https://afpa-haiti.org/history.html,
recIkfrcHN7IIcNpa,AISHA,Association for Women and Child Protection,['Collaborating partner'],Non-Governmental Organization,['recN7H5G0nlU4k3TS'],aisha,https://aisha.ps/en,
recK29aXD9Vj9G1T1,APW,Afghan Peace Watch,['Implementing partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",apw,https://afghanpeacewatch.org/,
recdCoHVW8WoLoMiY,ASSN,African Security Sector Network,['Collaborating partner'],Network,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",assn,https://www.africansecuritynetwork.org/,
reczdlVQMF047v0nj,AWAFY,Awafy Sudanese Organization,['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",awafy,https://awafy.org/,
recNFNXY9J4vRcovQ,AWLN,African Women Leaders Network,['Implementing partner'],Network,['recN7H5G0nlU4k3TS'],awln,https://www.awlnafrica.net/,
rec1ZtuGgRSwYb1kb,AWSD,Aid Worker Security Database,['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",awsd,https://www.aidworkersecurity.org/,
reckDjUX0npjHdheE,Airwars,Airwars,['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",airwars,https://airwars.org/,
recXU563WiRkgyROS,Anon Partner 1 Africa,Anonymous Partner 1 - Africa,['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",,,
recneEDP9tuSzj5ot,Anon Partner 2 Europe,Anonymous Partner 2 - Europe,['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",,,
recp8HVGf6R1dlhNs,Armillary Services,Armillary Services,['Implementing partner'],Private Sector,['recDLaWeOg2tT9IM2'],armillary-services,https://www.armillaryservices.com/,
recPOKEvEog864xqk,BDRCS,Bangladesh Red Crescent Society,['Implementing partner'],Red Cross,['recVueNQ76CpXnkZa'],bdrcs,https://bdrcs.org/,
recftBhjPv4GNzudJ,BWU,Burmese Women’s Union,['Collaborating partner'],Non-Governmental Organization,['recKB3FnVyFkRNwXZ'],bwu,https://burmesewomensunion.org/,
recsxCMPGJsnWEYhs,CARDH,Centre d’analyse et de recherche en droits de l’homme,['Implementing partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",cardh,https://cardh.org/,
recEWl8VACuv0xB4P,CDD,Centre for Democracy and Development,['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",cdd,https://www.cddwestafrica.org/,
reclrWwtVC1Q1Q1JX,CEWARN,Conflict Early Warning and Response Mechanism,['Collaborating partner'],Network,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",cewarn,https://cewarn.org/,
recZfAy6LiSQgVHF9,CHC,Climate Hazards Center UC Santa Barbara,['Collaborating partner'],Research Entity,['recmrtrQhRDBZVxxz'],chc,https://chc.ucsb.edu/,
reci8nIW8FikV7QkS,CIEPD,Community Initiative for Enhanced Peace and Development / Conflict Watch Center,['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",ciepd,https://cocap.org.np,
rec30zeOlK0uUqeBm,CIESIN,The Center for Integrated Earth System Information,['Implementing partner'],Research Entity,['recVueNQ76CpXnkZa'],ciesin,https://ciesin.climate.columbia.edu/,
recfrD8qipAMPcUjq,CIVIC,Center for Civilians in Conflict,['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",civic,https://www.civiliansinconflict.org/,
recoIFcE6w3Hsae4X,COCAP,Collective Campaign for Peace,['Collaborating partner'],Network,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",cocap,https://cocap.org.np/,
recd2NemaGQpt3UxW,COES,Centre for Social Conflict and Cohesion Studies,['Collaborating partner'],Research Entity,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",coes,https://coes.cl/,
recKtKaa7JrvQL2iv,CONRED,Coordinadora Nacional para la Reducción de Desastres,['Collaborating partner'],Government,['recLzUBYjCmlalnB5'],conred,https://conred.gob.gt/,
receDDy7TCG7FPn5i,CRAF'd,Complex Risk Analytics Fund (CRAF'd),"[""CRAF'd""]",United Nations,"['recxxh817VHuFZWuc', 'rechF1C4gRNWZRX3o']",craf'd,https://crafd.io/,
recfdb3RouRwhHw6f,CSC,Center for Social Change,['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",csc,https://centerforsocialchange.org/,
recwafQXwz91ijNnX,Cambridge Zero,Cambridge Zero,['Implementing partner'],Research Entity,['recDLaWeOg2tT9IM2'],cambridge-zero,https://www.zero.cam.ac.uk/,
recIv7CbEShW4suGB,CeSSRA,Centre for Social Sciences Research and Action,['Collaborating partner'],Research Entity,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",cessra,https://socialsciences-centre.org/,
rec3EXEhWXJLnnQeT,DA,Dalberg Associates,['Implementing partner'],Private Sector,['rechMbv6uSC10bgdN'],da,https://dalberg.com/,
reciuOZHqNF9dBiqo,DCO,United Nations Development Coordination Office  (UNDCO),['MoU signatory'],United Nations,[],dco,https://un-dco.org/,
recH7mLkvz5jClYoY,DFS,Data Friendly Space,['Implementing partner'],Non-Governmental Organization,"['recUrUUESMc1dGaGr', 'recVueNQ76CpXnkZa']",dfs,https://www.datafriendlyspace.org/,
recu2f5GsTa4y73wN,DPO,Department of Peace Operations (DPO),['MoU signatory'],United Nations,[],dpo,https://peacekeeping.un.org/en,
recXzMOIf3S6mlmkO,DPPA,United Nations Department of Political and Peacebuilding Affairs (UNDPPA),"['MoU signatory', 'Project lead partner']",United Nations,['recDLaWeOg2tT9IM2'],dppa,https://dppa.un.org/en,700000.0
rect8hHbbrjNW36ad,DSW,Deep South Watch,['Collaborating partner'],Research Entity,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",dsw,https://deepsouthwatch.org/th/english/about,
recCk8bKbhh8uAJku,DevTransform,Development Transformations,['Implementing partner'],Private Sector,['recK7YpAfDSsOeMLa'],devtransform,https://developmenttransformations.org/,
reckCsqk0PVwYy4Og,Dialogos,Dialogos,['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",dialogos,https://www.dialogos.com/,
recVHWBaYiL6909wx,EAI,Equal Access International (EAI) | Ivory Coast,['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",eai,https://www.equalaccess.org/our-work/countries/cote-divoire/,
recinExdPqGohTGK0,EAI,Equal Access International,['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",eai,https://www.equalaccess.org/,
recbkjM5Hz6h15DL6,EGRISS,"Expert Group on Refugee, IDP and Statelessness Statistics",['Collaborating partner'],Network,['recLzUBYjCmlalnB5'],egriss,https://egrisstats.org/,
rechxxzOmEgDlQqca,EYE on ISIS,Eye on ISIS,['Implementing partner'],Research Entity,"['recoHPHGk3I9tXZMs', 'recH3jdM4WmYoiku6']",eye-on-isis,https://libyasecuritymonitor.com/eye-on-isis/,
recbeXeiVqOdIX7Db,Element 84,Element 84,['Implementing partner'],Private Sector,['recDLaWeOg2tT9IM2'],element-84,https://element84.com/,
recKJOTOnJMSUQ4jy,Every Town for Gun Safety,Every Town for Gun Safety,['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",every-town-for-gun-safety,https://www.everytown.org/,
recX3x2JhsQlXK4R8,FAO,Food and Agriculture Organization of the United Nations (FAO),"['MoU signatory', 'Collaborating partner']",United Nations,['reciI9Y9kF8R90HMa'],fao,https://www.fao.org/home/en,
recPIWKwnlHP0OkbT,FEWS NET,Famine Early Warning Systems Network,['Collaborating partner'],Network,['recVhadI6PvXyCIlZ'],fews-net,https://fews.net/,
recv0iM90I12ie7kn,FHN,Feminist Humanitarian Network (FHN),['Project lead partner'],Network,['recK7YpAfDSsOeMLa'],fhn,https://www.feministhumanitariannetwork.org/,299999.97
recLoVJq8pDzIedXk,FLD,Front Line Defenders,['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",fld,https://www.frontlinedefenders.org,
recvFZbnvfgTCF1kO,FMA,Foundation for Media Alternatives,['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",fma,https://fma.ph,
recwGIekEB6Xj358I,FORUM-ASIA,Asian Forum for Human Rights and Development,['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",forum-asia,https://forum-asia.org/,
