airtable_id,org_short_name,org_full_name,crafd_connection,org_type,relational_project,logo_slug,org_url,total_grant_size
recBp6Ko5jW11ebgd,Shahit.biz,Xinjiang Victims Database,['Collaborating partner'],Research Entity,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",shahit.biz,https://xinjiangvictims.org,
recblQJ3hKNIxCwcU,Sismología Social,Sismología Social Nicaragua,['Collaborating partner'],Research Entity,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",sismología-social,https://sismologiasocial.org,
recgtnwMtxK1hRUX5,TCHRD,Tibetan Centre for Human Rights and Democracy,['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",tchrd,https://tchrd.org,
recvfKNNEYjFKp1Oh,The Carter Center,The Carter Center,['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",the-carter-center,https://www.cartercenter.org,
recBhDewqIus1Rszb,Timor-Leste Red Cross,Timor-Leste Red Cross Society,['Implementing partner'],Red Cross,['recVueNQ76CpXnkZa'],timor-leste-red-cross,https://www.facebook.com/tlrcs.timorleste/   (Timor‑Leste Red Cross Society – página oficial),
rec2jQWpBnNnZputz,Togglecorp,Togglecorp,['Implementing partner'],Private Sector,['recVueNQ76CpXnkZa'],togglecorp,https://togglecorp.com/,
recF5o67nvN5x9chH,U Denver,"Josef Korbel School, University of Denver","['Project lead partner', 'Implementing partner']",Research Entity,"['recKB3FnVyFkRNwXZ', 'recovFaPBY6M8k5Ow']",u-denver,https://korbel.du.edu/,400000.0
recHC34bzY2vcigGt,UARIV,Unidad para la Atención y Reparación Integral a las Víctimas,['Collaborating partner'],Government,['recLzUBYjCmlalnB5'],uariv,https://www.unidadvictimas.gov.co/,
recAauXiY8op7MeKJ,UC IRVINE,University of California - Irvine,['Implementing partner'],Research Entity,['recvpn8u6HBffMRWu'],uc-irvine,https://www.uci.edu/,
recCbYkFvc9RfeRuu,UN HABITAT,United Nations Human Settlements Programme (UN-Habitat),['MoU signatory'],United Nations,[],un-habitat,https://unhabitat.org/,
recow8fQAyzfPp706,UN-WOMEN,United Nations Entity for Gender Equality and the Empowerment of Women (UN WOMEN),"['MoU signatory', 'Project lead partner']",United Nations,"['recN7H5G0nlU4k3TS', 'reciI9Y9kF8R90HMa']",un-women,https://www.unwomen.org/en/about-us/about-un-women,999999.53
recRGWc0JJ4I8EBrf,UNDP,United Nations Development Programme (UNDP),"['MoU signatory', 'Project lead partner']",United Nations,"['recUrUUESMc1dGaGr', 'reconoiv65LoDbUFr', 'rechF1C4gRNWZRX3o', 'recvpn8u6HBffMRWu', 'recVQtT1tEPJ0Zhwv', 'recLzUBYjCmlalnB5', 'recmrtrQhRDBZVxxz']",undp,https://www.undp.org/,1200000.0
recHiQ4t74lOvydW2,UNDRR,United Nations Office for Disaster Risk Reduction (UNDRR),['MoU signatory'],United Nations,[],undrr,https://www.undrr.org/,
recOc0igd9fvVy9bT,UNDSS,United Nations Department for Safety and Security (UNDSS),['MoU signatory'],United Nations,[],undss,https://www.un.org/safety-and-security/en,
recBIiWXUVrR05ujB,UNESCO,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",['MoU signatory'],United Nations,[],unesco,https://www.unesco.org/en,
recPEjNyS6pP2Ipcy,UNFPA,United Nations Population Fund (UNFPA),['MoU signatory'],United Nations,['recVhadI6PvXyCIlZ'],unfpa,https://www.unfpa.org/,
recE7NdoxNUgVthSy,UNHCR,United Nations High Commissioner for Refugees (UNHCR),"['MoU signatory', 'Project lead partner', 'Collaborating partner']",United Nations,"['recvpn8u6HBffMRWu', 'recLzUBYjCmlalnB5', 'recVhadI6PvXyCIlZ']",unhcr,https://www.unhcr.org/,500071.0
recKc0Z0jE6Lb4Moe,UNICC,United Nations International Computing Centre (UNICC),['Implementing partner'],United Nations,['reconoiv65LoDbUFr'],unicc,https://www.unicc.org/,
recHPPeg1e3HoJKda,UNICEF,United Nations Children's Fund (UNICEF),"['MoU signatory', 'Collaborating partner']",United Nations,"['recVQtT1tEPJ0Zhwv', 'recLzUBYjCmlalnB5']",unicef,https://www.unicef.org/,
recUTp7WiJei7A91P,UNIDIR,United Nations Institute for Disarmament Research (UNIDR),['Collaborating partner'],United Nations,['reclh3auLZCpsMNFZ'],unidir,https://unidir.org/,
recUdvit71762ZdID,UNMA,Uganda National Meteorological Authority,['Collaborating partner'],Government,['rec6FcYVivJIogG0J'],unma,http://www.unma.go.ug/,
reclXF1UUrRo8XVrH,UNOCC,United Nations Operations and Crisis Centre (UNOCC),['Collaborating partner'],United Nations,['recvpn8u6HBffMRWu'],,https://unterm.un.org/unterm2/en/view/1cef1cd9-b546-4590-9709-9021d47540a8,
recnYjsP0iIRWMJwa,UNODC,United Nations Office on Drugs and Crime (UNODC),['MoU signatory'],United Nations,[],unodc,https://www.unodc.org/,
rec6PK9bmDVXGdYZf,UNOPS,United Nations Office for Project Services  (UNOPS),['MoU signatory'],United Nations,[],unops,https://www.unops.org/,
recMo91dxwY5yOxRn,UNRISD,United Nations Research Institute for Social Development (UNRISD),['MoU signatory'],United Nations,[],unrisd,https://www.unrisd.org/,
recGa8lZys2J2CsPf,UNU,United Nations University (UNU),['MoU signatory'],United Nations,[],unu,https://unu.edu/,
rec14sEumsXvivblc,UPPSALA UNIVERSITY,Uppsala University,['Implementing partner'],Research Entity,"['recovFaPBY6M8k5Ow', 'reciI9Y9kF8R90HMa', 'rechMbv6uSC10bgdN']",uppsala-university,https://www.uu.se/en,
recKZUJrah8DHb2Wu,VIA,VALERIAN IT AB (IT consultant),['Implementing partner'],Private Sector,['reciI9Y9kF8R90HMa'],,,
recORQtvP59nyRDWk,WANEP-SL,West Africa Network for Peacebuilding Sierra Leone,['Collaborating partner'],Network,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",wanep-sl,https://wanep-sl.org,
recDaH9ijqoZ6wQcg,WCLAC,Women’s Centre for Legal Aid and Counselling,['Collaborating partner'],Non-Governmental Organization,['recN7H5G0nlU4k3TS'],wclac,https://www.wclac.org/,
reciSCrJAGrkoTltl,WFP,World Food Programme (WFP),"['MoU signatory', 'Collaborating partner']",United Nations,"['rec6FcYVivJIogG0J', 'recLzUBYjCmlalnB5', 'reciI9Y9kF8R90HMa', 'recvpn8u6HBffMRWu']",wfp,https://www.wfp.org/,
recahMK1Tns4wXAgP,WHO,World Health Organization (WHO),['Collaborating partner'],United Nations,"['recUrUUESMc1dGaGr', 'reclh3auLZCpsMNFZ', 'recVhadI6PvXyCIlZ']",who,https://www.who.int/,
recqcnvu0nSqC5L4Y,WorldPop,WorldPop,"['Implementing partner', 'Collaborating partner']",Research Entity,['recVueNQ76CpXnkZa'],worldpop,https://www.worldpop.org/,
recrjN0nS3ygzhIKK,Yellow Movement,Yellow Movement,['Collaborating partner'],Non-Governmental Organization,['recKB3FnVyFkRNwXZ'],,https://www.linkedin.com/company/the-yellow-movement/,
recNoQ8c9b3jDN6l2,Yikono,Yikono,['Collaborating partner'],Non-Governmental Organization,['recKB3FnVyFkRNwXZ'],yikono,https://en.wikipedia.org/wiki/Yikono,
recqml085v174uHki,ZPP,Zimbabwe Peace Project,['Collaborating partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",zpp,https://zimbabwepeaceproject.org,
recYN6OSTDVZVwRsk,Zitamar News,Zitamar News,['Implementing partner'],Non-Governmental Organization,"['recH3jdM4WmYoiku6', 'recoHPHGk3I9tXZMs']",zitamar-news,https://www.zitamar.com/,
recSfL18Z81deq9OB,centre for humdata,The Centre for Humanitarian Data (CHD),['Implementing partner'],United Nations,['rechMbv6uSC10bgdN'],centre-for-humdata,https://centre.humdata.org/,
recwpsZQ44K1LzFJK,iMMAP Inc.,Information Management and Mine Action Programs (iMAPP),['Implementing partner'],Non-Governmental Organization,['recN7H5G0nlU4k3TS'],immap-inc.,https://immap.org/,
