org_full_name,org_short_name,org_type,projects_lead,un_org
Instituto de Estudios para el Desarrollo y la Paz ,INDEPAZ,Non-Governmental Organization,,NO
International Organization for Migration (IOM),IOM,Intergovernmental Organization,PRIMARI,YES
International Rescue Committee,IRC,Non-Governmental Organization,,NO
Institute for Security Studies,ISS,Non-Governmental Organization,,NO
International Telecommunication Union (ITU),ITU,Intergovernmental Organization,,YES
InSight Crime,InSight Crime,Non-Governmental Organization,,NO
Insecurity Insight  ,Insecurity Insight  ,Non-Governmental Organization,,NO
Irdeto  ,Irdeto  ,Other,,NO
Kurdistan Human Rights Network ,KHRN,Non-Governmental Organization,,NO
KoboToolbox,KoboToolbox,Non-Governmental Organization,,NO
"Josef Korbel School, University of Denver (Korbel)",Korbel,Academic Institution,Women's Mobilization Within Armed Groups,NO
The Libya Security Monitor (LSM)  ,LSM,Non-Governmental Organization,,NO
Liveuamap  ,Liveuamap  ,Other,,NO
Myanmar Peace Monitor ,MPM,Non-Governmental Organization,,NO
Multi-Partner Trust Fund Office (MPTFO),MPTFO,Intergovernmental Organization,,YES
Mexico Violence Resource Project   ,MVRP,Non-Governmental Organization,,NO
Mapbox,Mapbox,Non-Governmental Organization,,NO
Mediacoop (Formerly MediaFax),Mediacoop,Non-Governmental Organization,,NO
Menastream,Menastream,Non-Governmental Organization,,NO
Mercy Corps,Mercy Corps,Non-Governmental Organization,,NO
Caracas Mi Convive & Monitor de Víctimas  ,Mi Convive ,Non-Governmental Organization,,NO
MilitiaWatch  ,MilitiaWatch  ,Non-Governmental Organization,,NO
Network Contagion Research Institute,NCRI,Non-Governmental Organization,,NO
Norwegian Refugee Council (NRC)  ,NRC,Non-Governmental Organization,Strengthening CRAF'd Ecosystem,NO
Nepal Red Cross Society,NRCS,Non-Governmental Organization,,NO
Northwestern University,NU,Academic Institution,,NO
New Women Connectors,NWC,Non-Governmental Organization,,NO
United Nations Office for the Coordination of Humanitarian Affairs (OCHA),OCHA,Intergovernmental Organization,,YES
UN Office for the Coordination of Humanitarian Affairs (OCHA) / Colombia  ,OCHA (Colombia),Non-Governmental Organization,,NO
Organisation des Femmes Centrafricaine,OFCA,Non-Governmental Organization,,NO
Office of the United Nations High Commissioner for Human Rights (OHCHR),OHCHR,Intergovernmental Organization,Rapid Assessment Data,YES
Ordres des Défenseurs des Droits Humains ,ORDEDH,Non-Governmental Organization,,NO
Omega Research Foundation,ORF,Non-Governmental Organization,,NO
Oxus Society for Central Asian Affairs ,OSCAA,Non-Governmental Organization,,NO
Open Society Foundations,OSF,Foundation,,NO
Observatory of Political and Electoral Violence,OVPE,Non-Governmental Organization,,NO
Pan American Health Organization (PAHO),PAHO,Intergovernmental Organization,,YES
Pacific Disaster Centre,PDC,Non-Governmental Organization,,NO
Pakistan Institute for Conflict and Security Studies ,PICSS,Non-Governmental Organization,,NO
Palestinian Journalists Syndicate ,PJS ,Non-Governmental Organization,,NO
Political Research Associates PRA ,PRA,Non-Governmental Organization,,NO
Peace Research Institute Oslo (PRIO),PRIO,Academic Institution,"VIEWS-PIN, EMPOW",NO
Psychosocial Counselling Center for Women,PSCCW,Non-Governmental Organization,,NO
ProtectDefenders.eu  ,Protect Defenders,Non-Governmental Organization,,NO
Red Cross Red Crescent Climate Centre (RCCC),RCCC,Non-Governmental Organization,Conflict Climate Displacement,NO
Réseau pour l'Égalité du Genres dans l'Action Humanitaire en Haïti (REGAH),REGAH,Non-Governmental Organization,,NO
Reach Out Cameroon  ,ROC,Non-Governmental Organization,,NO
RiskPal,RiskPal,Non-Governmental Organization,,NO
South Asian American Leading Together  ,SAALT,Non-Governmental Organization,,NO
Scholars At Risk SAR,SAR,Non-Governmental Organization,,NO
Search for Common Ground,SFCG,Non-Governmental Organization,,NO
Syrian Network for Human Rights (SNHR)  ,SNHR,Non-Governmental Organization,,NO
Sanáa Center for Strategic Studies  ,Sana’a Center,Non-Governmental Organization,,NO
Save the Children,Save the Children,Non-Governmental Organization,,NO
Xinjiang Victims Database ,Shahit.biz,Non-Governmental Organization,,NO
Sismología Social Nicaragua  ,Sismología Social,Non-Governmental Organization,,NO
Tibetan Centre for Human Rights and Democracy  ,TCHRD,Non-Governmental Organization,,NO
Tableau Foundation,Tableau Foundation,Foundation,,NO
The Carter Center  ,The Carter Center  ,Non-Governmental Organization,,NO
The Sentinel Project  ,The Sentinel Project  ,Non-Governmental Organization,,NO
Togglecorp,Togglecorp,Non-Governmental Organization,,NO
University of California - Irvine,UC IRVINE,Academic Institution,,NO
United Nations Human Settlements Programme (UN-Habitat)  ,UN HABITAT,Intergovernmental Organization,,YES
United Nations Entity for Gender Equality and the Empowerment of Women (UN WOMEN),UN-WOMEN,Intergovernmental Organization,Transformative Outcomes,YES
United Nations Development Programme (UNDP),UNDP,Intergovernmental Organization,"INFORM Warning, Risk DataHub",YES
United Nations Office for Disaster Risk Reduction (UNDRR),UNDRR,Intergovernmental Organization,,YES
United Nations Department for Safety and Security (UNDSS),UNDSS,Intergovernmental Organization,,YES
"United Nations Educational, Scientific and Cultural Organization (UNESCO)",UNESCO,Intergovernmental Organization,,YES
United Nations Population Fund (UNFPA),UNFPA,Intergovernmental Organization,,YES
United Nations High Commissioner for Refugees (UNHCR),UNHCR,Intergovernmental Organization,CLIFDEW-GRID,YES
Universidad de los Andes (UNIANDES) – CEDE Data Center  ,UNIANDES,Academic Institution,,NO
United Nations International Computing Centre (UNICC),UNICC,Intergovernmental Organization,,YES
United Nations Children's Fund (UNICEF),UNICEF,Intergovernmental Organization,,YES
United Nations Office on Drugs and Crime (UNODC),UNODC,Intergovernmental Organization,,YES
United Nations Office for Project Services  (UNOPS),UNOPS,Intergovernmental Organization,,YES
United Nations Research Institute for Social Development (UNRISD),UNRISD,Intergovernmental Organization,,YES
United Nations University (UNU),UNU,Intergovernmental Organization,,YES
Uppsala University,UPPSALA UNIVERSITY,Academic Institution,,NO
VALERIAN IT AB (IT consultant),VIA,Other,,NO
W.M. Consulting  ,W.M. Consulting  ,Non-Governmental Organization,,NO
West Africa Network for Peacebuilding Côte d’Ivoire ,WANEP-CI,Non-Governmental Organization,,NO
West Africa Network for Peacebuilding Sierra Leone   ,WANEP-SL,Non-Governmental Organization,,NO
Women’s Centre for Legal Aid and Counselling,WCLAC,Non-Governmental Organization,,NO
World Food Programme (WFP),WFP,Intergovernmental Organization,,YES
World Health Organization,WHO,Intergovernmental Organization,,YES
WorldPop,WorldPop,Non-Governmental Organization,,NO
Yemen Data Project,YDP,Non-Governmental Organization,,NO
Zimbabwe Peace Project  ,ZPP,Non-Governmental Organization,,NO
Zitamar News  ,Zitamar News  ,Non-Governmental Organization,,NO
Information Management and Mine Action Programs (iMAPP),iMMAP Inc.,Non-Governmental Organization,,NO
"Ridgeway Information Ltd.,",,Private Sector,,NO
Timor-Leste Red Cross Society,,Non-Governmental Organization,,NO
Anonymous Partner 1 - Africa,,Non-Governmental Organization,,NO
Anonymous Partner 2 - Europe,,Non-Governmental Organization,,NO
Various suppliers,,Other,,NO
